motion;docdate
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--ak--00233.xml;Stockholm den 28 Januari 1867
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--ak--00267.xml;Stockholm den 29 Januari 1867.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--fk--00023.xml;Stockholm den 21 Januari 1867. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--ak--00188.xml;Stockholm den 27 Januari 1868.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--fk--00014.xml;Stockholm den 24 Januari 1868. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--fk--00073.xml;Stockholm den 27 Januari 1868.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--ak--00131.xml;Stockholm den 23 Januari 1869 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--ak--00197.xml;--
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--fk--00014.xml;Stockholm den 27 Januari 1869.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--ak--00144.xml;Stockholm den 27 Januari 1870.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--ak--00215.xml;Stockholm den 28 Januari 1870.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--fk--00049.xml;Stockholm den 17 Februari 1870.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00125.xml;Stockholm den 28 Januari 1871.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00163.xml;Stockholm den 28 Januari 1874.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00166.xml;Stockholm den 28 Januari 1874.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00009.xml;Stockholm den 22 Januari 1872.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00198.xml;Stockholm den 14 Februari 1872.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00208.xml;Stockholm den 24 April 1872.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--ak--00010.xml;Stockholm den 25 Januari 1873. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--ak--00039.xml;Stockholm den 24 Januari 1873.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--fk--00039.xml;Stockholm den 22 Mars 1873.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00016.xml;Stockholm den 23 Januari 1874.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00065.xml;Stockholm den 27 Januari             1874.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00171.xml;Stockholm den 29             Januari 1874. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--ak--00067.xml;Stockholm den 27 Januari 1875.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--fk--00009.xml;Stockholm den 25 Januari 1875.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--fk--00044.xml;--
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--ak--00120.xml;Stockholm den 28 Januari 1876.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--fk--00014.xml;Stockholm den 28 Januari 1876
