motion	docdate	title_block	signature_block	Unnamed: 4
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--ak--00233.xml	Stockholm den 28 Januari 1867	Af Herr P, Nilsson /rån Christianstads län: Med förslag rörunde sättet för väljande af deputerade ull markegångstaxornas upprättande sättet för väljande af deputerade ull markegångstaxornas upprättande	Per Nilsson från Kristianstads län.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--ak--00267.xml	Stockholm den 29 Januari 1867.	Åf Herr Friherre J, Koskull: Om användande af den s. k. Längmanska testanientsfonden till anskaffande af fullt tidsenliga vapen.	Ivar Koskull	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--fk--00023.xml	Stockholm den 21 Januari 1867.	Af Herr von Geijer, Bror Bengt Gustaf, angående förändrad lydelse af 9 $i Kongl. Förordningen om Landsting.	B. von Geijer.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--ak--00188.xml	Stockholm den 27 Januari 1868.	Af Herr Johannes Andersson: Angående underdånig skrifvelse till Kongl. Maj:t rörande skyldighet för presterskapet på landet att från och med Maj månads början till Oktober månads slut hålla tvänne gudstjenster hvarje sön- och helgedag.	Joh:s Andersson från Elfsborgs län.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--fk--00014.xml	Stockholm den 24 Januari 1868.	Af Herr Fröman, N. A., om meddelande af föreskrift rörande tiden för uppsättningen och justeringen af Kammarens protokoll.	N. A. Fröman.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--fk--00073.xml	Stockholm den 27 Januari 1868.	Af Herr Wallenberg, A. 0., angående myntfotens bestämmande i guld.	ÅA. O. Wallenberg.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--ak--00131.xml	Stockholm den 23 Januari 1869	Af Herr F. Pettersson: Om ändring 2 Kongl. Förordningen den 20 November 1545, angående lösöreköp.	a EF. Pettersson, från Calmar lin.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--ak--00197.xml		Af Herr Johan Olsson från Calmar län: Om ändring i Kongl. Förord-ningen den 26 Oktober 1866, ungående vilkoren för försälj- ning af bränvin och andra brända eller distillerade spirituösa drycker.	Johan Olsson från Calmar län.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--fk--00014.xml	Stockholm den 27 Januari 1869.	Af Herr Nordenfelt Leonard Magnus: Angående utbyte af tillgån-garne uti de fonderade statslånens liqvidations- och amortisse-mentsfonder emot Riksbanken tillhöriga, af Riksgälds-kontoret utgifna obligationer för 1808 och 1809 årens krigskostnader.	L. Nordenfelt.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--ak--00144.xml	Stockholm den 27 Januari 1870.	Af Herr Fredrik Pettersson från Calmar län: Om befrielse för Staten från skyldigheten att pensionera sina embets- och tjenste-män.	F. Pettersson från Calmar län.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--ak--00215.xml	Stockholm den 28 Januari 1870.	Af Herr Pehr Pehrsson från Stockholms län: Om indragning af alla i rikets skärgårdar belägna tullstationer m. m.	Pehr Pehrsson,från Stockholms län. I denna motion instämmer Jan Gustaf Jansson, från Stockholms län.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--fk--00049.xml	Stockholm den 17 Februari 1870.	Af Friherre Beck-Friis, Corfitz: Om anbringande af en förbätt-rad uppvärmnings- och luftvexlingsapparat i Första Kam- marens samlingsrum.	Corfitz Beck-Friis.	
