file	parliament_year	chamber	column	line	text
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00019/mot_1867__ak__00019_002.pdf	1867	ak	1	6	remiss till vederbörligt Utskott, vördsammast föreslå,
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00019/mot_1867__ak__00019_002.pdf	1867	ak	1	19	dagar har egt rum får jag föreslå,
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00019/mot_1867__ak__00019_002.pdf	1867	ak	1	21	Riksgälds-kontoret bestridas, samt
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00089/mot_1867__ak__00089_002.pdf	1867	ak	1	8	omkostnader, det måtte bestämmas att, om egna kassans
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00089/mot_1867__ak__00089_002.pdf	1867	ak	1	26	för sig göra redo, kanske först sedan han hunnit förfara den i hans vård stå-
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00089/mot_1867__ak__00089_002.pdf	1867	ak	1	28	Till förekommande af dessa olägenheter får jag vördsamt föreslå
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00133/mot_1867__ak__00133_032.pdf	1867	ak	1	25	de boställen, som fortfarande såsom sådane begagnas. Denna reglering till den ut-
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00133/mot_1867__ak__00133_032.pdf	1867	ak	1	28	af regementenas disposition öfver bostadsboställena, men derför att saken icke ge-
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00133/mot_1867__ak__00133_032.pdf	1867	ak	1	36	noskogar och dermed jemförlig egendom aterstå för Staten, hvarefter den inrätt-
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00015/mot_1867__fk__00015_003.pdf	1867	fk	1	13	rättad, ej annat än en innanläsningsanstalt; och ett enda barn, som, sysselsatt
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00015/mot_1867__fk__00015_003.pdf	1867	fk	1	15	systemet numera är öfvergifvet, i väsendtlig mån förringa eller förstöra nyttan
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00015/mot_1867__fk__00015_003.pdf	1867	fk	1	32	icke ovilkorligt påbjuder att gossarne i skolan öfvas i gymnastik, exercis och
