file	parliament_year	chamber	column	line	text
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00019/mot_1867__ak__00019_002.pdf	1867	ak	1	6	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00019/mot_1867__ak__00019_002.pdf	1867	ak	1	19	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00019/mot_1867__ak__00019_002.pdf	1867	ak	1	21	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00089/mot_1867__ak__00089_002.pdf	1867	ak	1	8	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00089/mot_1867__ak__00089_002.pdf	1867	ak	1	26	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00089/mot_1867__ak__00089_002.pdf	1867	ak	1	28	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00133/mot_1867__ak__00133_032.pdf	1867	ak	1	25	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00133/mot_1867__ak__00133_032.pdf	1867	ak	1	28	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00133/mot_1867__ak__00133_032.pdf	1867	ak	1	36	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00015/mot_1867__fk__00015_003.pdf	1867	fk	1	13	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00015/mot_1867__fk__00015_003.pdf	1867	fk	1	15	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00015/mot_1867__fk__00015_003.pdf	1867	fk	1	32	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00060/mot_1867__fk__00060_001.pdf	1867	fk	1	4	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00060/mot_1867__fk__00060_001.pdf	1867	fk	1	24	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00060/mot_1867__fk__00060_001.pdf	1867	fk	1	25	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00068/mot_1867__fk__00068_005.pdf	1867	fk	1	8	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00068/mot_1867__fk__00068_005.pdf	1867	fk	1	14	
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00068/mot_1867__fk__00068_005.pdf	1867	fk	1	30	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00136/mot_1868__ak__00136_001.pdf	1868	ak	1	5	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00136/mot_1868__ak__00136_001.pdf	1868	ak	1	9	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00136/mot_1868__ak__00136_001.pdf	1868	ak	1	18	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00249/mot_1868__ak__00249_001.pdf	1868	ak	1	13	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00249/mot_1868__ak__00249_001.pdf	1868	ak	1	14	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00249/mot_1868__ak__00249_001.pdf	1868	ak	1	24	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00306/mot_1868__ak__00306_002.pdf	1868	ak	1	23	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00306/mot_1868__ak__00306_002.pdf	1868	ak	1	25	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00306/mot_1868__ak__00306_002.pdf	1868	ak	1	27	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00001/mot_1868__fk__00001_003.pdf	1868	fk	1	12	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00001/mot_1868__fk__00001_003.pdf	1868	fk	1	14	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00001/mot_1868__fk__00001_003.pdf	1868	fk	1	15	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00005/mot_1868__fk__00005_001.pdf	1868	fk	1	4	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00005/mot_1868__fk__00005_001.pdf	1868	fk	1	14	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00005/mot_1868__fk__00005_001.pdf	1868	fk	1	27	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00075/mot_1868__fk__00075_003.pdf	1868	fk	1	2	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00075/mot_1868__fk__00075_003.pdf	1868	fk	1	4	
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00075/mot_1868__fk__00075_003.pdf	1868	fk	1	16	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00013/mot_1869__ak__00013_003.pdf	1869	ak	1	1	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00013/mot_1869__ak__00013_003.pdf	1869	ak	1	3	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00013/mot_1869__ak__00013_003.pdf	1869	ak	1	6	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00046/mot_1869__ak__00046_001.pdf	1869	ak	1	5	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00046/mot_1869__ak__00046_001.pdf	1869	ak	1	17	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00046/mot_1869__ak__00046_001.pdf	1869	ak	1	19	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00186/mot_1869__ak__00186_001.pdf	1869	ak	1	7	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00186/mot_1869__ak__00186_001.pdf	1869	ak	1	11	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00186/mot_1869__ak__00186_001.pdf	1869	ak	1	13	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__fk__00017/mot_1869__fk__00017_001.pdf	1869	fk	1	16	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__fk__00017/mot_1869__fk__00017_001.pdf	1869	fk	1	28	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__fk__00017/mot_1869__fk__00017_001.pdf	1869	fk	1	30	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__fk__00029/mot_1869__fk__00029_003.pdf	1869	fk	1	1	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__fk__00029/mot_1869__fk__00029_003.pdf	1869	fk	1	21	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__fk__00029/mot_1869__fk__00029_003.pdf	1869	fk	1	30	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__fk__00045/mot_1869__fk__00045_002.pdf	1869	fk	1	11	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__fk__00045/mot_1869__fk__00045_002.pdf	1869	fk	1	21	
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__fk__00045/mot_1869__fk__00045_002.pdf	1869	fk	1	40	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__ak__00009/mot_1870__ak__00009_002.pdf	1870	ak	1	11	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__ak__00009/mot_1870__ak__00009_002.pdf	1870	ak	1	19	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__ak__00009/mot_1870__ak__00009_002.pdf	1870	ak	1	29	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__ak__00045/mot_1870__ak__00045_002.pdf	1870	ak	1	1	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__ak__00045/mot_1870__ak__00045_002.pdf	1870	ak	1	12	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__ak__00045/mot_1870__ak__00045_002.pdf	1870	ak	1	18	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__ak__00239/mot_1870__ak__00239_001.pdf	1870	ak	1	16	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__ak__00239/mot_1870__ak__00239_001.pdf	1870	ak	1	22	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__ak__00239/mot_1870__ak__00239_001.pdf	1870	ak	1	31	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__fk__00002/mot_1870__fk__00002_005.pdf	1870	fk	1	13	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__fk__00002/mot_1870__fk__00002_005.pdf	1870	fk	1	20	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__fk__00002/mot_1870__fk__00002_005.pdf	1870	fk	1	35	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__fk__00030/mot_1870__fk__00030_001.pdf	1870	fk	1	5	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__fk__00030/mot_1870__fk__00030_001.pdf	1870	fk	1	7	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__fk__00030/mot_1870__fk__00030_001.pdf	1870	fk	1	12	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__fk__00034/mot_1870__fk__00034_004.pdf	1870	fk	1	6	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__fk__00034/mot_1870__fk__00034_004.pdf	1870	fk	1	35	
https://pdf.swedeb.se/riksdagen-motions-pdf/1870/mot_1870__fk__00034/mot_1870__fk__00034_004.pdf	1870	fk	1	59	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__ak__00119/mot_1871__ak__00119_001.pdf	1871	ak	1	2	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__ak__00119/mot_1871__ak__00119_001.pdf	1871	ak	1	7	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__ak__00119/mot_1871__ak__00119_001.pdf	1871	ak	1	9	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__ak__00128/mot_1871__ak__00128_001.pdf	1871	ak	1	5	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__ak__00128/mot_1871__ak__00128_001.pdf	1871	ak	1	19	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__ak__00128/mot_1871__ak__00128_001.pdf	1871	ak	1	27	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__ak__00130/mot_1871__ak__00130_011.pdf	1871	ak	1	17	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__ak__00130/mot_1871__ak__00130_011.pdf	1871	ak	1	18	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__ak__00130/mot_1871__ak__00130_011.pdf	1871	ak	1	24	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__fk__00014/mot_1871__fk__00014_006.pdf	1871	fk	1	4	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__fk__00014/mot_1871__fk__00014_006.pdf	1871	fk	1	26	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__fk__00014/mot_1871__fk__00014_006.pdf	1871	fk	1	33	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__fk__00014/mot_1871__fk__00014_007.pdf	1871	fk	1	1	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__fk__00014/mot_1871__fk__00014_007.pdf	1871	fk	1	25	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__fk__00014/mot_1871__fk__00014_007.pdf	1871	fk	1	37	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__fk__00025/mot_1871__fk__00025_002.pdf	1871	fk	1	5	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__fk__00025/mot_1871__fk__00025_002.pdf	1871	fk	1	20	
https://pdf.swedeb.se/riksdagen-motions-pdf/1871/mot_1871__fk__00025/mot_1871__fk__00025_002.pdf	1871	fk	1	47	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__ak__00005/mot_1872__ak__00005_002.pdf	1872	ak	1	23	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__ak__00005/mot_1872__ak__00005_002.pdf	1872	ak	1	35	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__ak__00005/mot_1872__ak__00005_002.pdf	1872	ak	1	38	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__ak__00150/mot_1872__ak__00150_004.pdf	1872	ak	1	20	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__ak__00150/mot_1872__ak__00150_004.pdf	1872	ak	1	33	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__ak__00150/mot_1872__ak__00150_004.pdf	1872	ak	1	39	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__ak__00199/mot_1872__ak__00199_002.pdf	1872	ak	1	4	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__ak__00199/mot_1872__ak__00199_002.pdf	1872	ak	1	10	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__ak__00199/mot_1872__ak__00199_002.pdf	1872	ak	1	15	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__fk__00017/mot_1872__fk__00017_007.pdf	1872	fk	1	19	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__fk__00017/mot_1872__fk__00017_007.pdf	1872	fk	1	20	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__fk__00017/mot_1872__fk__00017_007.pdf	1872	fk	1	29	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__fk__00022/mot_1872__fk__00022_002.pdf	1872	fk	1	2	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__fk__00022/mot_1872__fk__00022_002.pdf	1872	fk	1	5	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__fk__00022/mot_1872__fk__00022_002.pdf	1872	fk	1	13	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__fk__00023/mot_1872__fk__00023_004.pdf	1872	fk	1	11	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__fk__00023/mot_1872__fk__00023_004.pdf	1872	fk	1	13	
https://pdf.swedeb.se/riksdagen-motions-pdf/1872/mot_1872__fk__00023/mot_1872__fk__00023_004.pdf	1872	fk	1	30	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__ak__00049/mot_1873__ak__00049_001.pdf	1873	ak	1	1	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__ak__00049/mot_1873__ak__00049_001.pdf	1873	ak	1	17	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__ak__00049/mot_1873__ak__00049_001.pdf	1873	ak	1	25	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__ak__00130/mot_1873__ak__00130_003.pdf	1873	ak	1	2	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__ak__00130/mot_1873__ak__00130_003.pdf	1873	ak	1	15	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__ak__00130/mot_1873__ak__00130_003.pdf	1873	ak	1	25	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__ak__00157/mot_1873__ak__00157_001.pdf	1873	ak	1	11	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__ak__00157/mot_1873__ak__00157_001.pdf	1873	ak	1	14	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__ak__00157/mot_1873__ak__00157_001.pdf	1873	ak	1	19	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__fk__00014/mot_1873__fk__00014_002.pdf	1873	fk	1	4	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__fk__00014/mot_1873__fk__00014_002.pdf	1873	fk	1	16	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__fk__00014/mot_1873__fk__00014_002.pdf	1873	fk	1	21	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__fk__00025/mot_1873__fk__00025_003.pdf	1873	fk	1	1	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__fk__00025/mot_1873__fk__00025_003.pdf	1873	fk	1	8	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__fk__00025/mot_1873__fk__00025_003.pdf	1873	fk	1	18	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__fk__00040/mot_1873__fk__00040_011.pdf	1873	fk	1	5	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__fk__00040/mot_1873__fk__00040_011.pdf	1873	fk	1	17	
https://pdf.swedeb.se/riksdagen-motions-pdf/1873/mot_1873__fk__00040/mot_1873__fk__00040_011.pdf	1873	fk	1	39	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__ak__00091/mot_1874__ak__00091_001.pdf	1874	ak	1	14	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__ak__00091/mot_1874__ak__00091_001.pdf	1874	ak	1	20	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__ak__00091/mot_1874__ak__00091_001.pdf	1874	ak	1	22	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__ak__00156/mot_1874__ak__00156_001.pdf	1874	ak	1	2	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__ak__00156/mot_1874__ak__00156_001.pdf	1874	ak	1	7	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__ak__00156/mot_1874__ak__00156_001.pdf	1874	ak	1	13	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__ak__00174/mot_1874__ak__00174_002.pdf	1874	ak	1	15	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__ak__00174/mot_1874__ak__00174_002.pdf	1874	ak	1	26	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__ak__00174/mot_1874__ak__00174_002.pdf	1874	ak	1	34	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00003/mot_1874__fk__00003_001.pdf	1874	fk	1	15	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00003/mot_1874__fk__00003_001.pdf	1874	fk	1	21	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00003/mot_1874__fk__00003_001.pdf	1874	fk	1	28	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00012/mot_1874__fk__00012_001.pdf	1874	fk	1	4	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00012/mot_1874__fk__00012_001.pdf	1874	fk	1	10	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00012/mot_1874__fk__00012_001.pdf	1874	fk	1	23	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00025/mot_1874__fk__00025_001.pdf	1874	fk	1	4	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00025/mot_1874__fk__00025_001.pdf	1874	fk	1	12	
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00025/mot_1874__fk__00025_001.pdf	1874	fk	1	23	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__ak__00095/mot_1875__ak__00095_001.pdf	1875	ak	1	11	
