file,parliament_year,chamber,n_lines,n_cols
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00133/mot_1867__ak__00133_032.pdf,1867,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00019/mot_1867__ak__00019_002.pdf,1867,ak,26,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__ak__00089/mot_1867__ak__00089_002.pdf,1867,ak,30,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00060/mot_1867__fk__00060_001.pdf,1867,fk,31,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00015/mot_1867__fk__00015_003.pdf,1867,fk,41,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1867/mot_1867__fk__00068/mot_1867__fk__00068_005.pdf,1867,fk,31,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00249/mot_1868__ak__00249_001.pdf,1868,ak,25,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00306/mot_1868__ak__00306_002.pdf,1868,ak,36,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__ak__00136/mot_1868__ak__00136_001.pdf,1868,ak,21,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00075/mot_1868__fk__00075_003.pdf,1868,fk,28,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00005/mot_1868__fk__00005_001.pdf,1868,fk,27,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1868/mot_1868__fk__00001/mot_1868__fk__00001_003.pdf,1868,fk,18,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00186/mot_1869__ak__00186_001.pdf,1869,ak,27,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00013/mot_1869__ak__00013_003.pdf,1869,ak,29,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__ak__00046/mot_1869__ak__00046_001.pdf,1869,ak,23,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1869/mot_1869__fk__00029/mot_1869__fk__00029_003.pdf,1869,fk,35,1
