motion	content	problem
data/1867/mot-1867--ak--00233.xml		goldstandard date found among multiple docdate elems
data/1867/mot-1867--fk--00023.xml		goldstandard date found among multiple docdate elems
data/1868/mot-1868--fk--00014.xml		goldstandard date found among multiple docdate elems
data/1869/mot-1869--ak--00131.xml		goldstandard date found among multiple docdate elems
data/1869/mot-1869--ak--00197.xml		docdate is not annotated in goldstandard
data/1870/mot-1870--ak--00144.xml		goldstandard date found among multiple docdate elems
data/1871/mot-1871--ak--00163.xml		goldstandard date found among multiple docdate elems
data/1873/mot-1873--ak--00010.xml		goldstandard date found among multiple docdate elems
data/1874/mot-1874--ak--00016.xml		goldstandard date found among multiple docdate elems
data/1875/mot-1875--ak--00067.xml		goldstandard date found among multiple docdate elems
data/1875/mot-1875--fk--00044.xml		docdate is not annotated in goldstandard
data/1876/mot-1876--fk--00014.xml		goldstandard date found among multiple docdate elems
data/1876/mot-1876--fk--00019.xml	Januari 1870.	goldstandard date not found
data/1878/mot-1878--fk--00003.xml		goldstandard date found among multiple docdate elems
data/1879/mot-1879--ak--00061.xml		docdate is not annotated in goldstandard
data/1880/mot-1880--ak--00103.xml		goldstandard date found among multiple docdate elems
data/1881/mot-1881--ak--00155.xml		goldstandard date found among multiple docdate elems
data/1881/mot-1881--ak--00162.xml		goldstandard date found among multiple docdate elems
data/1882/mot-1882--fk--00022.xml		docdate is not annotated in goldstandard
data/1883/mot-1883--ak--00044.xml		goldstandard date found among multiple docdate elems
data/1885/mot-1885--ak--00142.xml		goldstandard date found among multiple docdate elems
data/1889/mot-1889--fk--00050.xml		goldstandard date found among multiple docdate elems
data/1892/mot-1892--ak--00075.xml		goldstandard date found among multiple docdate elems
data/1893/mot-1893--ak--00126.xml		goldstandard date found among multiple docdate elems
data/1894/mot-1894--fk--00024.xml		goldstandard date found among multiple docdate elems
data/1897/mot-1897--fk--00011.xml		goldstandard date found among multiple docdate elems
data/1898/mot-1898--ak--00138.xml	Stockholm i januari 1898.	goldstandard date not found
data/1902/mot-1902--ak--00007.xml		goldstandard date found among multiple docdate elems
data/1903/mot-1903--ak--00064.xml		goldstandard date found among multiple docdate elems
data/1910/mot-1910--ak--00202.xml		goldstandard date found among multiple docdate elems
data/1911/mot-1911--ak--00088.xml		goldstandard date found among multiple docdate elems
data/1917/mot-1917--fk--00018.xml	Stockholm den 18 april 1917.	goldstandard date not found
data/1920/mot-1920--ak--00071.xml		goldstandard date found among multiple docdate elems
data/1931/mot-1931--fk--00224.xml		goldstandard date found among multiple docdate elems
data/1937/mot-1937--ak--00342.xml	Stockholm 1 januari 1937.	goldstandard date not found
data/1938/mot-1938--fk--00152.xml		goldstandard date found among multiple docdate elems
data/1939/mot-1939--ak--00423.xml	Stockholm i mars 1939.	goldstandard date not found
data/1944/mot-1944--ak--00160.xml		goldstandard date found among multiple docdate elems
data/1945/mot-1945--ak--00070.xml	Stockholm i januari 1945.	goldstandard date not found
data/1945/mot-1945-höst-fk--00416.xml	Stockholm den 31 oktober 19453.	goldstandard date not found
data/1946/mot-1946--ak--00046.xml		goldstandard date found among multiple docdate elems
data/1947/mot-1947--ak--00422.xml		goldstandard date found among multiple docdate elems
data/1949/mot-1949--ak--00353.xml		goldstandard date found among multiple docdate elems
data/1949/mot-1949--fk--00111.xml	Stockholm i januari 1949.	goldstandard date not found
data/1949/mot-1949--fk--00164.xml		goldstandard date found among multiple docdate elems
data/1950/mot-1950-höst-ak--00633.xml		goldstandard date found among multiple docdate elems
