motion	parliament_year	chamber	annotation	most_probable_line	lev	wer	cer
data/1867/mot-1867--ak--00019.xml	1867	ak	remiss till vederbörligt Utskott, vördsammast föreslå,	 remiss till vederbörligt Utskott, vördsammast föreslå,	0	0.0	0.0
data/1867/mot-1867--ak--00019.xml	1867	ak	dagar har egt rum får jag föreslå,	 dagar har egt rum får jag föreslå,	0	0.0	0.0
data/1867/mot-1867--ak--00019.xml	1867	ak	Riksgälds-kontoret bestridas, samt	 Riksgälds-kontoret bestridas, samt	0	0.0	0.0
data/1867/mot-1867--ak--00089.xml	1867	ak	omkostnader, det måtte bestämmas att, om egna kassans	 omkostnader, det måtte bestämmas att, om egna kassans	0	0.0	0.0
data/1867/mot-1867--ak--00089.xml	1867	ak	för sig göra redo, kanske först sedan han hunnit förfara den i hans vård stå-	 för sig göra redo, kanske först sedan han hunnit förfara den i hans vård stå-	0	0.0	0.0
data/1867/mot-1867--ak--00089.xml	1867	ak	Till förekommande af dessa olägenheter får jag vördsamt föreslå	 Till förekommande af dessa olägenheter får jag vördsamt föreslå	0	0.0	0.0
data/1867/mot-1867--ak--00133.xml	1867	ak	de boställen, som fortfarande såsom sådane begagnas. Denna reglering till den ut-	 de boställen, som fortfarande såsom sådane begagnas. Denna reglering till den ut-	0	0.0	0.0
data/1867/mot-1867--ak--00133.xml	1867	ak	af regementenas disposition öfver bostadsboställena, men derför att saken icke ge-	af regementenas disposition öfver bostadsbaoställena, men derför att saken icke ge-	1	0.09090909361839294	0.012195121951219513
data/1867/mot-1867--ak--00133.xml	1867	ak	noskogar och dermed jemförlig egendom aterstå för Staten, hvarefter den inrätt-	 noskogar och dermed jemförlig egendom återstå för Staten, hvarefter den inrätt-	1	0.09090909361839294	0.012658227848101266
data/1867/mot-1867--fk--00015.xml	1867	fk	rättad, ej annat än en innanläsningsanstalt; och ett enda barn, som, sysselsatt	 rättad, ej annat än en innanläsningsanstalt; och ett enda barn, som, sysselsatt	0	0.0	0.0
data/1867/mot-1867--fk--00015.xml	1867	fk	systemet numera är öfvergifvet, i väsendtlig mån förringa eller förstöra nyttan	 systemet numera är öfvergifvet, i väsendtlig mån förringa eller förstöra nyttan	0	0.0	0.0
data/1867/mot-1867--fk--00015.xml	1867	fk	icke ovilkorligt påbjuder att gossarne i skolan öfvas i gymnastik, exercis och	 icke ovilkorligt påbjuder att gossarne i skolan öfvas i gymnastik, exercis och	0	0.0	0.0
data/1867/mot-1867--fk--00060.xml	1867	fk	antalet i Örebro, så att, på samma gång det vore en direkt fördel för orten,	 antalet i Örebro, så att, på samma gång det vore en direkt fördel för orten,	0	0.0	0.0
data/1867/mot-1867--fk--00060.xml	1867	fk	K. Cassel.	 K. Cassel 	1	0.5	0.1
data/1867/mot-1867--fk--00060.xml	1867	fk	N:o 60.	 N:o 60.	0	0.0	0.0
data/1867/mot-1867--fk--00068.xml	1867	fk	Inmutningsområdet bestämmes till högst tvåhundra (200) tunnland, eller	 Inmutningsområdet bestämmes till högst tvåhundra (200) tunnland, eller	0	0.0	0.0
data/1867/mot-1867--fk--00068.xml	1867	fk	sehakt på närmare afstånd ifrån bebyggd gård, tomtplats eller trädgård, kyrka	 schakt på närmare afstånd ifrån bebyggd gård, tomtplats eller trädgård, kyrka	1	0.09090909361839294	0.012987012987012988
data/1867/mot-1867--fk--00068.xml	1867	fk	Det i 42 § stadgade minimum för årliga arbetet, som vidtager efter ti-	 Det i 42 8 stadgade minimum för årliga arbetet, som vidtager efter ti-	1	0.07692307978868484	0.014285714285714285
data/1868/mot-1868--ak--00136.xml	1868	ak	ort, varda befriade från skyldigheten att taga lots och er-	 ort, varda befriade från skyldigheten att taga lots och er-	0	0.0	0.0
data/1868/mot-1868--ak--00136.xml	1868	ak	Häruti instämmer	 Häruti instämmer	0	0.0	0.0
data/1874/mot-1874--fk--00025.xml	1874	fk	derande af sådana föremål, som i mer än ett hänseende kunna sägas	 derande af sådana föremål, som i mer än ett hänseende kunna sägas	0	0.0	0.0
data/1874/mot-1874--fk--00025.xml	1874	fk	som en med noggrannhet anordnad samling af dylika föremål måste ega	 som en med noggrannhet anordnad samling af dylika föremål måste ega	0	0.0	0.0
data/1875/mot-1875--ak--00095.xml	1875	ak	med vördsamt föreslå:	 med vördsamt föreslå:	0	0.0	0.0
data/1875/mot-1875--ak--00095.xml	1875	ak	nådigt förslag till skjutsningsväsendets fullständiga ordnande	 nådigt förslag till skjutsningsväsendets fullständiga ordnande	0	0.0	0.0
data/1875/mot-1875--ak--00095.xml	1875	ak	Stockholm den 28 Januari 1875.	 Stockholm den 28 Januari 1875.	0	0.0	0.0
data/1875/mot-1875--ak--00170.xml	1875	ak	att det nu rådande befordringssystemet verkar raka motsatsen, och då Kongl.	 att det nu rådande befordringssystemet verkar raka motsatsen, och då Kongl.	0	0.0	0.0
data/1875/mot-1875--ak--00170.xml	1875	ak	S. Johnson,	 S, Johnson,	1	0.5	0.09090909090909091
data/1875/mot-1875--ak--00170.xml	1875	ak	från Jönköpings län.	 från Jönköpings län.	0	0.0	0.0
data/1875/mot-1875--ak--00173.xml	1875	ak	N:is 6 och 7 under 1868 års riksdag jemte motion inom Andra Kammaren,	 N:is 6 och 7 under 1868 års riksdag jemte motion inom Andra Kammaren,	0	0.0	0.0
data/1875/mot-1875--ak--00173.xml	1875	ak	ganska värderika diskussioner.	 ganska värderika diskussioner.	0	0.0	0.0
data/1875/mot-1875--ak--00173.xml	1875	ak	Stockholm den 10 April 1875.	 Stockholm den 10 April 1875.	0	0.0	0.0
data/1875/mot-1875--fk--00041.xml	1875	fk	hjelpmedel.	 hjelpmedel.	0	0.0	0.0
data/1875/mot-1875--fk--00041.xml	1875	fk	af riket, der vintern håller hamnarne längre tillslutna, och der behofven	 af riket, der vintern håller hamnarne längre tillslutna, och der behofven	0	0.0	0.0
data/1875/mot-1875--fk--00041.xml	1875	fk	slutligen eger lofvande utsigter för framtiden i en liflighet och företag-	 slutligen eger lofvande utsigter för framtiden i en liflighet och företag-	0	0.0	0.0
data/1875/mot-1875--fk--00041.xml	1875	fk	flera jernbruk, som dels måst alldeles nedlägga sin tillverkning, såsom	 flera jernbruk, som dels måst alldeles nedlägga sin tillverkning, såsom	0	0.0	0.0
data/1875/mot-1875--fk--00041.xml	1875	fk	forslingen för malm och jern. Vid andra, såsom Hedvigsfors bruk, Mo-	 forslingen för malm och jern. Vid andra, såsom Hedvigsfors bruk, Mo-	0	0.0	0.0
data/1875/mot-1875--fk--00041.xml	1875	fk	På den af ombuden för Jemtland äfvenledes berörda strategiska si-	 På den af ombuden för Jemtland äfvenledes berörda strategiska si-	0	0.0	0.0
data/1876/mot-1876--ak--00002.xml	1876	ak	för särskild lagstiftning, den förra i Plakatet den 5 Juni 1658 om allehanda vexel-	 för särskild lagstiftning, den förra i Plakatet den 5 Juni 1658 om allehanda vexel-	0	0.0	0.0
data/1876/mot-1876--ak--00002.xml	1876	ak	bref och i Vexelrätt och Stadga den 10 Mars 1671 samt den senare i Sjölagen den	 bref och i Vexelrätt och Stadga den 10 Mars 1671 samt den senare i Sjölagen den	0	0.0	0.0
data/1876/mot-1876--ak--00002.xml	1876	ak	lemna tillräcklig ledning för slitande af egentliga handelstvister. Vid dessa med	 lemna tillräcklig ledning för slitande af egentliga handelstvister. Vid dessa med	0	0.0	0.0
data/1876/mot-1876--ak--00063.xml	1876	ak	annan rörelse bredvid, kan detta sägas, men om han är urståndsatt att med	 annan rörelse bredvid, kan detta sägas, men om han är urståndsatt att med	0	0.0	0.0
data/1876/mot-1876--ak--00063.xml	1876	ak	förestår, och att således partiela ändringar nu ej böra vidtagas, torde möjligen	 förestår, och att således partiela ändringar nu ej böra vidtagas, torde möjligen	0	0.0	0.0
data/1876/mot-1876--ak--00063.xml	1876	ak	att 600 kronors inkomst blefve lägsta beloppet, för hvilket	 att 600 kronors inkomst blefve lägsta beloppet, för hvilket	0	0.0	0.0
