motion_path	parliament_year	false_negatives	gold_signee_count	miss_rate	coverage	true_positives	false_positives	unknown_signature_count	signature_item_count	false_negative_ids	false_negative_names	xml_predicted_ids	motion
data/1891/mot-1891--ak--00046.xml	1891	37	37	1.0	0.0	0	0	1	1	i-2ASB6DoU1XW9sV8ZGbcxey; i-2VZTfC47GBddiryCh2CpHE; i-5Yh6HBknHoPtKFgLtpMaDp; i-6GAocgVxQ6jiDDMLZHLu3d; i-6nb5Nksypt5HiLFAGwZTw3; i-7DD9UiYqJkTfq9tkRcCA2k; i-831weVJUgdkHmNJ3qar1qk; i-8pbX6LRKzxvUdbXMazCxto; i-9wuGFV27d4wT614qHyapco; i-Ao65QGy15CSfY5Bs93ui2H; i-B1SwupwM9QjXTLJUdzWAMP; i-BqxiGcrvRSyw7vSVD9ghzT; i-CFgTG42GDu6i8infTbEfdz; i-CPfUdQUFStbLWNfMwcYqBw; i-CRg57QyeX8aiXhez3Dk7Ai; i-CvE9G8tRKYnVxdnpwQtaEa; i-CyRoxEq2KbDs42MtkNnNiv; i-DaGNzDugnyRMkYYfAo2AZy; i-ERiVJNFmpgUdsS9YuT6kpg; i-ESAm1DKfv3KraeQ1CSiwmq; i-Hyqvgdf3ZjCXhRaGtAsh5V; i-JSD38mWT7YyULoZeavmfbP; i-Jux87Y67Kxg3c73zqd7Xud; i-LQv7xeJqieeAUann5fmxiL; i-LZdMKNSEVGNKsWS2UasAi3; i-M3ZXFztHLDDpAd9W9omcqs; i-M8iT3fNaEahQCDyU7KD4Xo; i-N6Keb2NhChtqLkNGdsJVHC; i-PPQzQpjxJgK9T8oVftkuFD; i-Q9NZspFD2eAfFJcRFPWqM; i-StedJdxnLqw4NbNmZQ7ibE; i-TYTRLcvnTBCfR2iBbM2cHU; i-UoV3vX6cKBePnhvLmRZwB; i-Xb3C5Vr1Nuk3LEZVCSNSgM; i-Xdy8t5sLfraMuoGMNLMKVs; i-Xe7y1HUKo3cwvjoGKibVwZ; i-YazX28KdBe9qGR8fKzRszT	i-2ASB6DoU1XW9sV8ZGbcxey (Ivar Månsson); i-2VZTfC47GBddiryCh2CpHE (Halvar Eriksson); i-5Yh6HBknHoPtKFgLtpMaDp (Gustaf Olsson); i-6GAocgVxQ6jiDDMLZHLu3d (Nils Nilsson); i-6nb5Nksypt5HiLFAGwZTw3 (August Henricson); i-7DD9UiYqJkTfq9tkRcCA2k (Stormats Mathias Olsson); i-831weVJUgdkHmNJ3qar1qk (Per Holm); i-8pbX6LRKzxvUdbXMazCxto (Alfred Kihlberg); i-9wuGFV27d4wT614qHyapco (Carl Gustaf Bruce); i-Ao65QGy15CSfY5Bs93ui2H (Karl Holmgren); i-B1SwupwM9QjXTLJUdzWAMP (Anders Hansson); i-BqxiGcrvRSyw7vSVD9ghzT (Sven Nilsson); i-CFgTG42GDu6i8infTbEfdz (Anders Olsson); i-CPfUdQUFStbLWNfMwcYqBw (Nils Persson); i-CRg57QyeX8aiXhez3Dk7Ai (Werner von Schwerin); i-CvE9G8tRKYnVxdnpwQtaEa (Jöns Bengtsson); i-CyRoxEq2KbDs42MtkNnNiv (Anders Andersson); i-DaGNzDugnyRMkYYfAo2AZy (Hans Andersson); i-ERiVJNFmpgUdsS9YuT6kpg (Christian Bülow); i-ESAm1DKfv3KraeQ1CSiwmq (Pehr Pehrson); i-Hyqvgdf3ZjCXhRaGtAsh5V (Carl Johansson); i-JSD38mWT7YyULoZeavmfbP (Olof Anderson); i-Jux87Y67Kxg3c73zqd7Xud (Emil Olsson); i-LQv7xeJqieeAUann5fmxiL (Nils Åkesson); i-LZdMKNSEVGNKsWS2UasAi3 (Gunnar Eriksson); i-M3ZXFztHLDDpAd9W9omcqs (Nils Nilsson); i-M8iT3fNaEahQCDyU7KD4Xo (Anders Persson); i-N6Keb2NhChtqLkNGdsJVHC (Magnus Andersson); i-PPQzQpjxJgK9T8oVftkuFD (Jöns Bromée); i-Q9NZspFD2eAfFJcRFPWqM (Ola Bosson Olsson); i-StedJdxnLqw4NbNmZQ7ibE (Carl Persson); i-TYTRLcvnTBCfR2iBbM2cHU (Anton Hellgrén); i-UoV3vX6cKBePnhvLmRZwB (Mårten Dahn); i-Xb3C5Vr1Nuk3LEZVCSNSgM (Lars Persson); i-Xdy8t5sLfraMuoGMNLMKVs (Per Truedsson); i-Xe7y1HUKo3cwvjoGKibVwZ (Olof Olson); i-YazX28KdBe9qGR8fKzRszT (Per Norberg)		https://github.com/swerik-project/riksdagen-motions/blob/main/data/1891/mot-1891--ak--00046.xml
data/1925/mot-1925--ak--00174.xml	1925	20	20	1.0	0.0	0	0	2	2	i-2tbdBcby74PFaeUyCBPwWD; i-3DLEKns8xgJB66t2ZrR5T6; i-3pPDWXfF3wxyAxqygpDKiJ; i-6kUUa46exahjtEtVcbrJBo; i-7h8oALVXjuheXj6Zv4VA5g; i-B5Mnjpt8rqBfGh6JQ4dcyz; i-FCMnpjWTxQ3MKDCVHqbnHZ; i-FM6MMcusGpk6ZPWpXeYthr; i-GXdR2EaK5rsF4FXRtSg17k; i-JC4yT43VjuXRRqfGmkRoTB; i-N5TSABLbZXAKm9PLjFxT53; i-Niq4WHb47qWzpgYWbjAE2Y; i-PViGBm6bvNM72xgLPe6DPy; i-QNtjoW5Vxzee49kvmSyDsT; i-RfZ8Cxmm4mGNUCys8QXb7s; i-RxtwEnxL6w2WnGDrBRqde2; i-VAMU813hn5oo8CeeRvxacA; i-ViqdoaJZjEkNmETR2XoKpB; i-XD5q9S6mMdHF4YeAdX1eSp; i-XYYWDqwaMDuNe4nzR1T3aQ	i-2tbdBcby74PFaeUyCBPwWD (Helmer Molander); i-3DLEKns8xgJB66t2ZrR5T6 (Fabian Månsson); i-3pPDWXfF3wxyAxqygpDKiJ (Erik Fast); i-6kUUa46exahjtEtVcbrJBo (Ivar Englund); i-7h8oALVXjuheXj6Zv4VA5g (Ruben Wagnsson); i-B5Mnjpt8rqBfGh6JQ4dcyz (Fredrik Sundström); i-FCMnpjWTxQ3MKDCVHqbnHZ (Per Granath); i-FM6MMcusGpk6ZPWpXeYthr (Julius Hedvall); i-GXdR2EaK5rsF4FXRtSg17k (Conrad Jonsson); i-JC4yT43VjuXRRqfGmkRoTB (Ivar Vennerström); i-N5TSABLbZXAKm9PLjFxT53 (Carl Johan Högström); i-Niq4WHb47qWzpgYWbjAE2Y (Carl Brännberg); i-PViGBm6bvNM72xgLPe6DPy (Herman Norling); i-QNtjoW5Vxzee49kvmSyDsT (Anders Andersson); i-RfZ8Cxmm4mGNUCys8QXb7s (Elof Lindberg); i-RxtwEnxL6w2WnGDrBRqde2 (Karl Ward); i-VAMU813hn5oo8CeeRvxacA (Mauritz Västberg); i-ViqdoaJZjEkNmETR2XoKpB (Nils Olsson); i-XD5q9S6mMdHF4YeAdX1eSp (Harald Hallén); i-XYYWDqwaMDuNe4nzR1T3aQ (August Wilhelm Pettersson)		https://github.com/swerik-project/riksdagen-motions/blob/main/data/1925/mot-1925--ak--00174.xml
data/198081/mot-198081--00047.xml	198081	14	14	1.0	0.0	0	2	1	3	i-3kAjBmVsLrV8XDTkSBhmB8; i-4sZMUTZ58TFSSwfWoaTdDi; i-4zgkigyuo3a2meU92gcyAk; i-6TjCaZscDfHaRCMjT3p2wD; i-6V941ptYoLBrpqJyJPSEbT; i-7Uv5b4af4nUb3NuFk7J8yJ; i-9JsxBiraiBoy2MDeoaZACy; i-9P9pMwjrnX38LhidwctarW; i-AnrRW8P2FoZPwmfbQGBp8u; i-HGfALYBg5SLYb8z1er3XK1; i-PQWJzhaevKGbSNtPqoUeSA; i-TtvHecYGhXDKbncEMyzhpQ; i-Un2MPRTWRPWQ7aGPA42b56; i-VYTD8M9CfGigSH3YKEqEEz	i-3kAjBmVsLrV8XDTkSBhmB8 (Maj-Lis Lööw); i-4sZMUTZ58TFSSwfWoaTdDi (Lennart Pettersson); i-4zgkigyuo3a2meU92gcyAk (Anita Johansson); i-6TjCaZscDfHaRCMjT3p2wD (Bo Södersten); i-6V941ptYoLBrpqJyJPSEbT (Olle Westberg); i-7Uv5b4af4nUb3NuFk7J8yJ (Catarina Rönnung); i-9JsxBiraiBoy2MDeoaZACy (Hagar Normark); i-9P9pMwjrnX38LhidwctarW (Egon Jacobsson); i-AnrRW8P2FoZPwmfbQGBp8u (Arne Gadd); i-HGfALYBg5SLYb8z1er3XK1 (Curt Boström); i-PQWJzhaevKGbSNtPqoUeSA (Valter Kristenson); i-TtvHecYGhXDKbncEMyzhpQ (Bo Forslund); i-Un2MPRTWRPWQ7aGPA42b56 (Rune Carlstein); i-VYTD8M9CfGigSH3YKEqEEz (Erik Wärnberg)	i-8Lq2FtVLPjm4ZuNxycmaDK; i-FdvWw4zD2L3JULLMLZP4N7	https://github.com/swerik-project/riksdagen-motions/blob/main/data/198081/mot-198081--00047.xml
data/1904/mot-1904--ak--00151.xml	1904	13	13	1.0	0.0	0	0	1	1	i-4R2KEQAwfYsX1osXqxZ66T; i-5YeVw64y97GEawvX93x6P5; i-5c9mfR236xt4zVBBWJTpNn; i-5wWRJAXfVgvuneH3sdAR6w; i-9FaEFPLt3oQFHYZzfytdP2; i-9wN2nfyUfzSDZicp5e3dkR; i-CstbzCQGy4imdVSWZesSu; i-DQ9MiFCTqXqDgv4LnUitVT; i-EZgzHXqRzCH5Uq63fALDeS; i-GbhiuQPNmKizBowZVk5os8; i-JEgc1aAvpjdwHjnsG3nTk5; i-Q2P8tFSZepYKH7UCJjpycJ; i-TjTXd1BhNmQYR6chLowerA	i-4R2KEQAwfYsX1osXqxZ66T (Henrik Hedlund); i-5YeVw64y97GEawvX93x6P5 (Ernst Carlson); i-5c9mfR236xt4zVBBWJTpNn (Herman Andersson); i-5wWRJAXfVgvuneH3sdAR6w (Karl Karlsson); i-9FaEFPLt3oQFHYZzfytdP2 (Erik Wijk); i-9wN2nfyUfzSDZicp5e3dkR (Hugo Segerdahl); i-CstbzCQGy4imdVSWZesSu (Oskar Berg); i-DQ9MiFCTqXqDgv4LnUitVT (Paul Hellström); i-EZgzHXqRzCH5Uq63fALDeS (Knut von Geijer); i-GbhiuQPNmKizBowZVk5os8 (Johan Nydahl); i-JEgc1aAvpjdwHjnsG3nTk5 (Anders Thylander); i-Q2P8tFSZepYKH7UCJjpycJ (Cornelius Faxe); i-TjTXd1BhNmQYR6chLowerA (Rudolf Ekholm)		https://github.com/swerik-project/riksdagen-motions/blob/main/data/1904/mot-1904--ak--00151.xml
data/1949/mot-1949--fk--00111.xml	1949	13	13	1.0	0.0	0	0	0	0	i-6GsafLogg26vz1fwk1RD5X; i-BytdFfh3YuhnvkuEUjKtkY; i-E9aScmhjijhnqjzEW3KgLJ; i-FNvUq6siEkjKMWmKLJgUz1; i-FooDdbstXg6Pqwp431p9Bu; i-HCwEBLHjvaPyUHpWDFDcMz; i-JYrP81br94CzALKBPuUgFA; i-KyDG5utQmSAidq3exNCrZk; i-LASmHrbJnU6cgbkm7wkovE; i-Nv3mVEtdkyLKd6ob3bcAA1; i-Ry79up6brcPYr8wj2XgxHz; i-S8aCynzawb1F4NqNExnsVg; i-Ww8VV8hxCYiEXY5qDTZs5Z	i-6GsafLogg26vz1fwk1RD5X (Ivar Nilzon); i-BytdFfh3YuhnvkuEUjKtkY (Gunnar Lodenius); i-E9aScmhjijhnqjzEW3KgLJ (Sten Wahlund); i-FNvUq6siEkjKMWmKLJgUz1 (Karl Persson); i-FooDdbstXg6Pqwp431p9Bu (Ivar Persson); i-HCwEBLHjvaPyUHpWDFDcMz (Erik von Heland); i-JYrP81br94CzALKBPuUgFA (John Gustavson); i-KyDG5utQmSAidq3exNCrZk (Olof Pålsson); i-LASmHrbJnU6cgbkm7wkovE (Bror Nilsson); i-Nv3mVEtdkyLKd6ob3bcAA1 (Fritiof Karlsson); i-Ry79up6brcPYr8wj2XgxHz (Gärda Svensson); i-S8aCynzawb1F4NqNExnsVg (Otto Niklasson); i-Ww8VV8hxCYiEXY5qDTZs5Z (Gustav Andersson)		https://github.com/swerik-project/riksdagen-motions/blob/main/data/1949/mot-1949--fk--00111.xml
data/1945/mot-1945--ak--00070.xml	1945	7	7	1.0	0.0	0	0	0	0	i-JakM4wBhrw5yCg8hj5n7GM; i-MXZLbf93D8sNNjc8yebEXt; i-Mw31BTf7uoxHTWx5X3k5QD; i-P8ZPJ9p6xnoWgmQpdcndL3; i-PJ95RBBNwg7dza9xBXoQMV; i-PxJkAua7y2xMDdFhtkakAi; i-RkvKy7yomEBZCYRG5fCKH3	i-JakM4wBhrw5yCg8hj5n7GM (Carl Olof Carlsson); i-MXZLbf93D8sNNjc8yebEXt (Birger Utbult); i-Mw31BTf7uoxHTWx5X3k5QD (Waldemar Svensson); i-P8ZPJ9p6xnoWgmQpdcndL3 (Erik Johansson); i-PJ95RBBNwg7dza9xBXoQMV (Gösta Andersson); i-PxJkAua7y2xMDdFhtkakAi (Wiktor Mårtensson); i-RkvKy7yomEBZCYRG5fCKH3 (Ernst Staxäng)		https://github.com/swerik-project/riksdagen-motions/blob/main/data/1945/mot-1945--ak--00070.xml
data/1886/mot-1886--ak--00036.xml	1886	5	5	1.0	0.0	0	0	1	1	i-3sN9DMuKUv4qbPVAGpgpoG; i-L9x9NkF1idfQrSZjXw8xc1; i-Lq454nVDYrDHNLUERQsYDn; i-Qdz4d8Ykv3zsRZVZxrcte1; i-TG7FNMEqNgriHtpUnpX6DL	i-3sN9DMuKUv4qbPVAGpgpoG (Hugo Arwidsson); i-L9x9NkF1idfQrSZjXw8xc1 (Olof Ahlström); i-Lq454nVDYrDHNLUERQsYDn (Johan Sjöberg); i-Qdz4d8Ykv3zsRZVZxrcte1 (Adolf Hedin); i-TG7FNMEqNgriHtpUnpX6DL (Anders Peter Trybom)		https://github.com/swerik-project/riksdagen-motions/blob/main/data/1886/mot-1886--ak--00036.xml
data/1965/mot-1965--ak--00891.xml	1965	5	5	1.0	0.0	0	0	1	1	i-BHdk6r4gSueHaCjF4xQ9BW; i-E9aScmhjijhnqjzEW3KgLJ; i-JzFnmTZvh2HBnWRxpGWm5p; i-KY2qFJXpwf6GTtVoW7mKo8; i-McqtqKBwTgYornj9cNC5hS	i-BHdk6r4gSueHaCjF4xQ9BW (Gunnar Larsson); i-E9aScmhjijhnqjzEW3KgLJ (Sten Wahlund); i-JzFnmTZvh2HBnWRxpGWm5p (Gustaf Svensson); i-KY2qFJXpwf6GTtVoW7mKo8 (Lars Eliasson); i-McqtqKBwTgYornj9cNC5hS (Harald Larsson)		https://github.com/swerik-project/riksdagen-motions/blob/main/data/1965/mot-1965--ak--00891.xml
data/1874/mot-1874--ak--00016.xml	1874	4	4	1.0	0.0	0	1	2	3	i-5GqnTURvMSP3hjBB327kuL; i-CWFbCpTNYcEzzAhNPvdKj9; i-Vob6hqQX7xJmVsZEt2LqUi; i-W25G9CwkvEKmT8UAjmJw3U	i-5GqnTURvMSP3hjBB327kuL (Gustaf Hæggström); i-CWFbCpTNYcEzzAhNPvdKj9 (Olof Nilsson); i-Vob6hqQX7xJmVsZEt2LqUi (Leonard Fahlander); i-W25G9CwkvEKmT8UAjmJw3U (Carl Erik Hjelm)	i-LuFYHhoNXD6PSHzC7CsSDs	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00016.xml
data/1890/mot-1890--ak--00045.xml	1890	4	4	1.0	0.0	0	0	1	1	i-2QcpwTvuvuHLaCWaSG33nF; i-8pbX6LRKzxvUdbXMazCxto; i-Ao65QGy15CSfY5Bs93ui2H; i-BpjQbCyD87dfhoTPHChrGZ	i-2QcpwTvuvuHLaCWaSG33nF (Lars Mallmin); i-8pbX6LRKzxvUdbXMazCxto (Alfred Kihlberg); i-Ao65QGy15CSfY5Bs93ui2H (Karl Holmgren); i-BpjQbCyD87dfhoTPHChrGZ (Jan Eliasson)		https://github.com/swerik-project/riksdagen-motions/blob/main/data/1890/mot-1890--ak--00045.xml
