csv_row	parliament_year	motion_path	exact_match	precision	recall	f1	true_positives	false_positives	false_negatives	gold_signee_count	xml_predicted_signee_count	miss_rate	coverage	extra_rate	gold_ids	xml_predicted_ids	true_positive_ids	false_positive_ids	false_negative_ids	xml_body_ids	xml_metadata_ids	body_metadata_agree	signature_item_count	unknown_signature_count	missing_who_count	non_swerik_who_values	metadata_placeholder_count	metadata_non_swerik_values	xml_read_error	motion
2	1867	data/1867/mot-1867--ak--00233.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-4ACwbbRqtvjW5TygyEQort				i-4ACwbbRqtvjW5TygyEQort			True	2	2	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--ak--00233.xml
3	1867	data/1867/mot-1867--ak--00267.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-S9pkMWTec6tTT7sDMuDncn	i-S9pkMWTec6tTT7sDMuDncn	i-S9pkMWTec6tTT7sDMuDncn			i-S9pkMWTec6tTT7sDMuDncn		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--ak--00267.xml
4	1867	data/1867/mot-1867--fk--00023.xml	False	0.5	1.0	0.6666666666666666	1	1	0	1	2	0.0	1.0	0.5	i-QnzZpk49d9g2M6XVsGFeZi	i-QnzZpk49d9g2M6XVsGFeZi; i-UM8fdU1UJVJ23DcbWqVD9z	i-QnzZpk49d9g2M6XVsGFeZi	i-UM8fdU1UJVJ23DcbWqVD9z		i-QnzZpk49d9g2M6XVsGFeZi; i-UM8fdU1UJVJ23DcbWqVD9z		False	2	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--fk--00023.xml
5	1868	data/1868/mot-1868--ak--00188.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-QMTFCSUSN2Q2UCGk1ku63M				i-QMTFCSUSN2Q2UCGk1ku63M			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--ak--00188.xml
6	1868	data/1868/mot-1868--fk--00014.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-9fnjME1eW8K8kyikqsAoDW	i-9fnjME1eW8K8kyikqsAoDW	i-9fnjME1eW8K8kyikqsAoDW			i-9fnjME1eW8K8kyikqsAoDW		False	2	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--fk--00014.xml
7	1868	data/1868/mot-1868--fk--00073.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-E7aB8B6ZVrFekyhd9pNoQt	i-E7aB8B6ZVrFekyhd9pNoQt	i-E7aB8B6ZVrFekyhd9pNoQt			i-E7aB8B6ZVrFekyhd9pNoQt		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--fk--00073.xml
8	1869	data/1869/mot-1869--ak--00131.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-9mpjL7WndAk2vS1p76SEft				i-9mpjL7WndAk2vS1p76SEft			True	2	2	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--ak--00131.xml
9	1869	data/1869/mot-1869--ak--00197.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-EEpr1Cx3sBrwmNG6AU1JMZ				i-EEpr1Cx3sBrwmNG6AU1JMZ			True	0	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--ak--00197.xml
10	1869	data/1869/mot-1869--fk--00014.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-FBVyR2c9ZXHBjh2ETNQb8U	i-FBVyR2c9ZXHBjh2ETNQb8U	i-FBVyR2c9ZXHBjh2ETNQb8U			i-FBVyR2c9ZXHBjh2ETNQb8U		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--fk--00014.xml
11	1870	data/1870/mot-1870--ak--00144.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-9mpjL7WndAk2vS1p76SEft				i-9mpjL7WndAk2vS1p76SEft			True	2	2	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--ak--00144.xml
