motion	content	problem
data/1869/mot-1869--ak--00131.xml	22 : F. Petersson ||| a EF. Pettersson, från Calmar lin.	annotated signature block does not match goldstandard
data/1869/mot-1869--ak--00197.xml		signature block not found
data/1870/mot-1870--ak--00144.xml	24 : Lars Persson ||| F. Pettersson från Calmar län.	annotated signature block does not match goldstandard
data/1874/mot-1874--ak--00016.xml	88 : A. W. Wigardat ||| Olof Nilsson, från Westerbotten. Häruti instämma: L. J. Fahlander. Gustaf Heggström, C. E. Hjelm.	annotated signature block does not match goldstandard
data/1875/mot-1875--ak--00067.xml	40 : Ragnar Törnebladh Häri instämmer: C A. Fröberg ||| A. W. Wigardt. A. W. Wigardt.	annotated signature block does not match goldstandard
data/1875/mot-1875--fk--00044.xml	14 : Edvard Frisk ||| N. S. von Koch.	annotated signature block does not match goldstandard
data/1876/mot-1876--fk--00014.xml	13 : A. Th. Wallenius ||| Axel Burenstam	annotated signature block does not match goldstandard
data/1876/mot-1876--fk--00019.xml		signature block not found
data/1878/mot-1878--fk--00003.xml	18 : RB. Klinckowström ||| Claés M. Lewenhaupt	annotated signature block does not match goldstandard
data/1879/mot-1879--ak--00061.xml		signature block not found
data/1881/mot-1881--ak--00155.xml	132 : H. A. Widmark ÅA. Bäckström Er. Gustaf Burman H. F. Bergström N. Boström J. Mörtsell ÅA. F. O. Cederberg P. A. Hellgrén Fr. Appelberg N:o 155 ||| K. J. Berg.	annotated signature block does not match goldstandard
data/1881/mot-1881--ak--00162.xml	11 : Sigge Ljunggren ||| Aug. Wengberg.	annotated signature block does not match goldstandard
data/1882/mot-1882--fk--00022.xml		signature block not found
data/1883/mot-1883--ak--00044.xml	37 : Ola Andersson ||| J. P. Nilsson, Riksdagsman för Kalmar län,	annotated signature block does not match goldstandard
data/1889/mot-1889--fk--00050.xml	13 : Chr Lundeberg ||| Oscar Alin.	annotated signature block does not match goldstandard
data/1892/mot-1892--ak--00075.xml	27 : Underdånigst RUDOLF CRONSTEDT ||| 0. W. Redelius.	annotated signature block does not match goldstandard
data/1892/mot-1892--ak--00091.xml	"15 : | Nils ""Nilsson ||| Nils ""Nilsson, Färs härad."	annotated signature block does not match goldstandard
data/1893/mot-1893--ak--00126.xml	17 : D. Persson i Tällberg ||| Arnoldsson.	annotated signature block does not match goldstandard
data/1894/mot-1894--fk--00024.xml	12 : C. Fr. Wern: ||| A. F. O. Cederberg.	annotated signature block does not match goldstandard
data/1898/mot-1898--ak--00138.xml		signature block not found
data/1903/mot-1903--ak--00064.xml	12 : K. H. Bergendahl ||| P. Hörnstén.	annotated signature block does not match goldstandard
data/1911/mot-1911--ak--00088.xml	16 : Sven Palme Instämma : ||| Axel Ekman.	annotated signature block does not match goldstandard
data/1917/mot-1917--fk--00018.xml	1052 : Carl G Ekman ||| E. F. Hellberg i Lycksele. Ing. Bergman. Ant. Wikström. Olof Jonsson. J. RB. Sundström. W. Bäckström. Per Norin. J. Behn. Johan Olofsson. Oscar Osberg. Emil Molin, Dombäcksmark. Axel Modig. Gustaf Olsson, Ramsta. J. Henry Erikson 1 Uppsala. Thure Widlund. C. Winberg. Swen Jönsson. Enok Runefors. K. W. Skareen I motionens syfte instämma: 0. W. Stenudd. Oskar Lundgren, Wendelsberg. G. W. Hansson 1 Gårda. Magnus Bengtsson. K. M. Andersson, Milsmaden. Alfred Persson. C. Edor Anderson, Knapasjö. Josef N. Ericsson. Helge Bäcklund. E. C. Kropp. Nils Olsson i Rödningsberg. H. E. Nordström. P. J. Persson. Å. L. Johansson. J. P. Igel. K. A. Borg. J. Persson i Västervik. C. J. Ericsson, Arboga. Adolf Janson. C. Johanson, Gäre. J. AÅ. Ingvarson. Ernst Liljedahl. Carl O. Strid. Fabian Månsson. Algot Törnkvist. Å. J. Bärg. Alfred Bolander. Ol. Olsson i See. G. W. Källman. Erik Röing. Carl Sjögren. Herm. Carlson. Åug. Larsson. Nils Ohlsson. Ernst Lindley. Gustaf Johansson. Christian Ericson. Wilhelm Björck. Rob. Karlsson. Karl Kahlström. E. Ewurén. Aug. Sävström.	annotated signature block does not match goldstandard
data/1925/mot-1925--ak--00174.xml	327 : Gust Pettersson i Hällbacken ||| A. W. Pettersson, Köping. Julius Hedvall. Ivar Englund. Mauritz Västberg. P. Granath. C. J. Högström. Fabian Månsson. Fr. Sundström. Nils Olsson i Rödningsberg. Erik Fast. Ruben Wagnsson. Karl Ward. Anders Andersson, Falkenberg. Conrad Jonsson. C. Brännberg. Hälner Molander. Elof Lindberg. Ivar Vennerström. Harald Hallén. Herman Norling, Lesjöfors.	annotated signature block does not match goldstandard
data/1937/mot-1937--ak--00342.xml		signature block not found
data/1939/mot-1939--ak--00423.xml		signature block not found
data/1944/mot-1944--ak--00160.xml	305 : Elis Håstad ||| Hildur Nygren. Disa Västberg. Elsa Johansson. Anna Ronnebäck. Ruth Gustafson. Hildur Alvén. Elin Eriksson. Judith Olsson. Verner Hedlund. Nils A. Larsson Kerstin Hesselgren. Märta Öberg. i Östersund. Ebon Andersson, Blenda Björck. Signe Linderoth-Andersson. Malmö. (Lika lydande med motion i Första kammaren nr 98.)	annotated signature block does not match goldstandard
data/1945/mot-1945--ak--00070.xml		signature block not found
data/1949/mot-1949--fk--00111.xml		signature block not found
data/1951/mot-1951--ak--00225.xml	96 : Olaus Nyberg ||| J. W. Mårtensson, Olof Andersson, Uddevalla. Malmö. (Lika lydande med motion i Första kammaren nr 116.)	annotated signature block does not match goldstandard
data/1951/mot-1951--fk--00395.xml		signature block not found
data/1952/mot-1952--fk--00180.xml		signature block not found
data/1952/mot-1952--fk--00418.xml		signature block not found
data/1953/mot-1953--fk--00389.xml		signature block not found
data/1957/mot-1957--fk--00153.xml	23 : Josef Nord ||| Helmer Persson Gunnar Öhman	annotated signature block does not match goldstandard
data/1960/mot-1960--ak--00448.xml	"77 : Eric Nelander Arvid Nilsson S Rimås i Lönsboda Sven Antby Olaus
                Nyberg Nr 448 ||| Carl-W. Lothigius Tage Magnusson (Lika lydande med motion nr 356 i Första kammaren)"	annotated signature block does not match goldstandard
data/1963/mot-1963--fk--00548.xml	55 : Ragnar Sveningsson ||| G. Ivar Virgin (Lika lydande med motion nr 649 i Andra kammaren)	annotated signature block does not match goldstandard
data/1964/mot-1964--fk--00576.xml	126 : G. Ivar Virgin ||| Torsten Bengison Torsten Andersson Herbert Hermansson Sven E. Sundin Bertil Jonasson (Lika lydande med motion nr 705 i Andra kammaren)	annotated signature block does not match goldstandard
data/1965/mot-1965--ak--00891.xml	"83 : Lars Eliasson S G. W. Wahlund Gustaf Svensson i Sundborn i Vä
                Harald Larsson Gunnar Larsson ||| Lars Eliasson S. G. W. Wahlund Gustaf Svensson i Sundborn i Vä Harald Larsson Gunnar Larsson i Hednäset i Luttra (Lika lydande med motion nr 760 i Första kammaren)"	annotated signature block does not match goldstandard
data/1966/mot-1966--ak--00894.xml	82 : Ingrid Gärde Widemar (fp) Lennart Mattsson (cp) Blenda Ljungberg (h) Ove Nordstrandh (h) Elias Jönsson (fp) ||| Helmer Holmberg (k) Sven Hector (k) (Lika lydande med motion nr 724 i Första kammaren)	annotated signature block does not match goldstandard
data/1966/mot-1966--fk--00014.xml	"47 : Olle Dahlén Sven Nyman Eric G Peterson Ruth Hamrin-Thorell Gunnar
                Edström Nr 15 ||| Olle Dahlén Sven Nyman Eric G. Peterson Ruth Hamrin-Thorell Gunnar Edström (Lika lydande med motion nr 29 i Andra kammaren)"	annotated signature block does not match goldstandard
data/1967/mot-1967--ak--00139.xml		signature block not found
data/1967/mot-1967--ak--00704.xml	134 : Gösta Bohman (h) Tage Magnusson (h) Leif Cassel (h) i Borås Astrid Kristensson (h) Rolf Eliasson (h) Hans Nordgren (h) Carl Eric Hedin (h) Bo Turesson (h) Karin Wetterström (h) Nr 703) ||| Bengt Börjesson (cp) Hans Nordgren (h) Olle Westberg (fp) i Falköping (Lika lydande med motion nr 3577 i Första kammaren)	annotated signature block does not match goldstandard
data/1968/mot-1968--fk--00140.xml	51 : Elvy Olsson (cp) Anna-Lisa Nilsson (cp) ||| lvy Olsson (cp) Anna-Lisa Nilsson (cp) (Lika lydande med motion nr 181 i Andra kammaren)	annotated signature block does not match goldstandard
data/1968/mot-1968--fk--00735.xml	93 : Elvy Olsson (cp) Anna-Lisa Nilsson (cp) 11 Bihang till riksdagens protokoll 1968 3 saml Nr 732—743) ||| Ferdinand Nilsson (cp) Torsten Andersson (cp) Nils Theodor Larsson (cp) i Kungsängen (Lika lydande med motion nr 946 i Andra kammaren)	annotated signature block does not match goldstandard
data/1969/mot-1969--fk--00511.xml	111 : Ragnar Sveningsson (m) Holge Ottosson (m) Lars Schött (m) ||| Arne Svenungsson (m) Einar Dahl (s) Nils Magnusson (s) Eskil Tistad (fp) Herbert Hermansson (cp) (Lika lydande med motion nr 530 i Andra kammaren)	annotated signature block does not match goldstandard
data/1970/mot-1970--ak--00551.xml	144 : Sven Gustafson (fp) Per Ahlmark (fp) Sven Antby (fp) i Göteborg) ||| Gunnar Gustafsson (s) Evert Svensson (s) - Lars-Ingvar Sörenson (s) i Uddevalla i Kungälv Sven Olsson (s) Doris Håvik (s) i Mölndal (Lika lydande med motion nr 484 i Första kammaren)	annotated signature block does not match goldstandard
data/1972/mot-1972--00770.xml	95 : JAN-IVAN NILSSON (c) i Tvärålund) ||| JAN-IVAN NILSSON (c) i Tvärålund FILIP JOHANSSON (c) MARTIN OLSSON (c) i Holmgården i Sundsvall NILS-ERIC GUSTAFSSON (c) i Byske	annotated signature block does not match goldstandard
data/1972/mot-1972--01545.xml	68 : PAUL BRUNDIN (m) ||| HANS NORDGREN (m) ROLF CLARKSON (m) TAGE MAGNUSSON (m) LARS SCHÖTT (m) i Borås	annotated signature block does not match goldstandard
data/1973/mot-1973--00268.xml	171 : DANIEL WIKLUND (fp) ||| i Stockholm GUDMUND ERNULF (fp) MARTIN HENMARK (fp) BRITTA BERGSTRÖM (fp) ERIC ENLUND (fp) STEN SJÖHOLM (fp) KERSTI SWARTZ (fp) HANS PETERSSON (fp) OLLE WESTBERG (fp) i Röstånga i Ljusdal	annotated signature block does not match goldstandard
data/1974/mot-1974--01552.xml	100 : MATS HELLSTRÖM (s) ||| BENGT GUSTAVSSON (s) ÅKE GUSTAVSSON (s) i Eskilstuna i Nässjö SIVERT ANDERSSON (s) ERIC MARCUSSON (s) i Stockholm	annotated signature block does not match goldstandard
data/1975/mot-1975--00190.xml	42 : BERTIL JONASSON (c) KARL-ERIC NORRBY (c) ||| KARL-ERIC NORRBY (c) BENGT BÖRJESSON (c) i Falköping	annotated signature block does not match goldstandard
data/197778/mot-197778--01194.xml	194 : MAJ BRITT THEORIN (s) ||| MATS HELLSTRÖM (s) OSKAR LINDKVIST (s) LARS ULANDER (s) BARBRO ENGMAN (s) KJELL NILSSON (s) STIG OLSSON (s) SIVERT ANDERSSON (s) SUNE JOHANSSON (s) IVAR NORDBERG (s) ÅKE GREEN (s) KERSTIN V. ANDERSSON (s) i Kumla	annotated signature block does not match goldstandard
data/198081/mot-198081--00047.xml	215 : KJELL A MATTSSON (c) IVAN SVANSTRÖM (c) MARTIN OLSSON (c) ||| ERIK WÄRNBERG (s) VALTER KRISTENSON (s) EGON JACOBSSON (s) RUNE CARLSTEIN (s) ANITA JOHANSSON (s) ARNE GADD (s) BO SÖDERSTEN (s) HAGAR NORMARK (s) MAJ-LIS LÖÖW (s) CURT BOSTRÖM (s) LENNART PETTERSSON (s) BO FORSLUND (s) CATARINA RÖNNUNG (s) OLLE WESTBERG (s)	annotated signature block does not match goldstandard
data/198788/mot-198788-KrU-00264.xml		signature block not found
data/199091/mot-199091-TU-00547.xml	56 : Mot 1990/91 T547 Viola Claesson (v) ||| Viola Claesson (v) Bengt Hurtig (v) Maggi Mikaelsson (v) Jan Jennehag (v)	annotated signature block does not match goldstandard
data/199697/mot-199697-FöU-00049.xml	28 : Jan Björkman (s) ||| Karin Olsson (s) Magnus Johansson (s)	annotated signature block does not match goldstandard
data/19992000/mot-19992000-AU-00270.xml	36 : Mot 1999/2000 ||| Lennart Klockare (s) Lilian Virgin (s)	annotated signature block does not match goldstandard
data/201415/mot-201415-NU-02749.xml	41 : Pia Nilsson (S) Lars Eriksson (S) Olle Thorell (S) ||| Sten Bergheden (M)	annotated signature block does not match goldstandard
