motion	content	problem
data/1867/mot-1867--ak--00233.xml	 ||| Af Herr P, Nilsson /rån Christianstads län: Med förslag rörunde sättet för väljande af deputerade ull markegångstaxornas upprättande sättet för väljande af deputerade ull markegångstaxornas upprättande	annotated title block does not match goldstandard
data/1867/mot-1867--ak--00267.xml	 ||| Åf Herr Friherre J, Koskull: Om användande af den s. k. Längmanska testanientsfonden till anskaffande af fullt tidsenliga vapen.	annotated title block does not match goldstandard
data/1867/mot-1867--fk--00023.xml	 ||| Af Herr von Geijer, Bror Bengt Gustaf, angående förändrad lydelse af 9 $i Kongl. Förordningen om Landsting.	annotated title block does not match goldstandard
data/1868/mot-1868--ak--00188.xml	 ||| Af Herr Johannes Andersson: Angående underdånig skrifvelse till Kongl. Maj:t rörande skyldighet för presterskapet på landet att från och med Maj månads början till Oktober månads slut hålla tvänne gudstjenster hvarje sön- och helgedag.	annotated title block does not match goldstandard
data/1868/mot-1868--fk--00014.xml	 ||| Af Herr Fröman, N. A., om meddelande af föreskrift rörande tiden för uppsättningen och justeringen af Kammarens protokoll.	annotated title block does not match goldstandard
data/1868/mot-1868--fk--00073.xml	 ||| Af Herr Wallenberg, A. 0., angående myntfotens bestämmande i guld.	annotated title block does not match goldstandard
data/1869/mot-1869--ak--00131.xml	 ||| Af Herr F. Pettersson: Om ändring 2 Kongl. Förordningen den 20 November 1545, angående lösöreköp.	annotated title block does not match goldstandard
data/1869/mot-1869--ak--00197.xml	 ||| Af Herr Johan Olsson från Calmar län: Om ändring i Kongl. Förord-ningen den 26 Oktober 1866, ungående vilkoren för försälj- ning af bränvin och andra brända eller distillerade spirituösa drycker.	annotated title block does not match goldstandard
data/1869/mot-1869--fk--00014.xml	 ||| Af Herr Nordenfelt Leonard Magnus: Angående utbyte af tillgån-garne uti de fonderade statslånens liqvidations- och amortisse-mentsfonder emot Riksbanken tillhöriga, af Riksgälds-kontoret utgifna obligationer för 1808 och 1809 årens krigskostnader.	annotated title block does not match goldstandard
data/1870/mot-1870--ak--00144.xml	 ||| Af Herr Fredrik Pettersson från Calmar län: Om befrielse för Staten från skyldigheten att pensionera sina embets- och tjenste-män.	annotated title block does not match goldstandard
data/1870/mot-1870--ak--00215.xml	 ||| Af Herr Pehr Pehrsson från Stockholms län: Om indragning af alla i rikets skärgårdar belägna tullstationer m. m.	annotated title block does not match goldstandard
data/1870/mot-1870--fk--00049.xml	 ||| Af Friherre Beck-Friis, Corfitz: Om anbringande af en förbätt-rad uppvärmnings- och luftvexlingsapparat i Första Kam- marens samlingsrum.	annotated title block does not match goldstandard
data/1871/mot-1871--ak--00125.xml	 ||| Af Herr H. Hegermarck: Angdende ändringar i 9 och 27 $$ af gällande bevillningsstadga.	annotated title block does not match goldstandard
data/1871/mot-1871--ak--00163.xml	 ||| Af Herr EF. Ad:son Palander: Om anslag för byggandet af en jern-väg mellan Wezxiö och Carlskrona.	annotated title block does not match goldstandard
data/1871/mot-1871--ak--00166.xml	 ||| Af Herr Sven Andreasson från Elfsborgs län: Om ändring i 4 och 5 $S af Kongl. Förordningen den 24 September 1861, angående tillsyn å förmyndares förvaltning af omyndigs egendom.	annotated title block does not match goldstandard
data/1872/mot-1872--ak--00009.xml	 ||| Af Herr Sven Nilsson i Efveröd: Angående rättighet för församlin- garne i Skåne, Halland och Blekinge att uppbära den till Klockaren nu utgående helgonskyld.	annotated title block does not match goldstandard
data/1872/mot-1872--ak--00198.xml	 ||| Af Herr B. Ehrenborg: Med förslag till ändringar i 9, 13, 16,18, 23 och 33 $$ af gällande Riksdags-ordning.	annotated title block does not match goldstandard
data/1872/mot-1872--ak--00208.xml	 ||| Af Herr Liss Olof Larsson: Med förslag till förändrad lydelse af 65 $ Biksdags-ordningen.	annotated title block does not match goldstandard
data/1873/mot-1873--ak--00010.xml	 ||| Af Herr Anders Persson: Om nämndemäns rättighet till skjuts- ersättning vid vissa tjensteförrättningar samt om sättet för denna ersättnings uttaxzerande.	annotated title block does not match goldstandard
data/1873/mot-1873--ak--00039.xml	 ||| Åf Herr A. Johansson: Med förslag i afseende d grundskatternas afskrifvande.	annotated title block does not match goldstandard
data/1873/mot-1873--fk--00039.xml	 ||| Af Herr Wallenberg: Om uteslutande af 107. $ i RBegerings-formen.	annotated title block does not match goldstandard
